PAYOUT,NET_PREMIUM_AMOUNT,PIPE_PREMIUM_AMOUNT,RISK_SCORE
333.2,85.65599999999999,36.83208,9.04646167145597
1835.35,391.428,168.31404,10.904319093047732
1182.23,1736.13,746.5359000000001,1.583621095783873
800.04,127.656,40.84992,19.58486087610453
1704.1,68.226,7.50486,227.06619443933664
1371.54,227.088,97.64784,14.04577920003146
2000.0,540.384,232.36512,8.607143791632755
536.99,328.67999999999995,141.33239999999998,3.799482638092894
60.69,285.23999999999995,122.65319999999998,0.4948097562884621
1825.29,378.48,162.7464,11.21554762501659
1500.0,283.86,122.0598,12.289058314039512
0.0,432.264,185.87352,0.0
0.0,,,
1705.09,,,
1770.6,362.226,155.75718,11.367694253324307
5824.3,437.826,30.647820000000003,190.0396178259987
0.0,437.826,30.647820000000003,0.0
3422.12,1328.994,571.46742,5.988302885228348
0.0,322.704,138.76272,0.0
0.0,322.704,138.76272,0.0
0.0,54.462,5.990819999999999,0.0
180.0,254.802,109.56486,1.6428625017181604
2070.78,683.256,293.80008,7.048262206055221
3239.33,428.28,184.1604,17.58972069999848
3239.33,428.28,184.1604,17.58972069999848
3239.33,428.28,184.1604,17.58972069999848
1206.66,375.492,161.46156,7.473357745335795
631.71,261.75,112.5525,5.612580795628707
8577.47,231.678,16.217460000000003,528.9034164412922
0.0,52.236,5.745959999999999,0.0
1242.0,538.722,37.71054,32.93508923499902
0.0,346.908,24.28356,0.0
3747.48,494.682,212.71326,17.617519471987784
1559.02,842.8979999999999,362.44614,4.3013839242432
975.0,14.112,1.55232,628.0921459492888
2372.26,108.864,46.81152,50.67684193976185
0.0,,,
8334.64,195.216,83.94288,99.28942156857138
1300.0,78.942,8.68362,149.70714978315496
0.0,39.636,4.35996,0.0
7219.7,420.81,180.9483,39.89924193816687
14286.8,430.428,185.08404,77.1908804238334
4668.6,334.116,23.38812,199.6141630879267
238.8,334.116,23.38812,10.21031190193996
2739.9,,,
2615.74,83.598,35.94714,72.76628961302623
2615.74,83.598,35.94714,72.76628961302623
0.0,846.6,364.038,0.0
2496.1,438.57,30.699900000000003,81.30645376695037
438.65,,,
630.7,184.758,79.44594000000001,7.938731670869524
928.32,508.248,35.577360000000006,26.092998468689075
12115.83,369.828,159.02604,76.18771114466537
